pm10,pm25,so2,co,o3,no2,categori
59,79,21,26,15,31,2
30,46,21,14,16,24,3
23,33,19,11,14,19,3
36,53,23,14,12,24,2
29,36,20,14,12,21,3
27,34,21,8,21,15,3
25,23,19,7,19,12,3
24,26,19,10,18,17,3
33,40,22,12,14,22,3
32,38,21,10,12,16,3
26,37,23,13,9,17,3
41,52,26,16,10,16,2
25,37,20,9,19,16,3
33,47,18,11,19,19,3
34,47,20,13,17,25,3
26,28,18,11,18,26,3
39,57,23,23,12,33,2
43,59,29,13,12,29,2
29,41,19,20,12,23,3
30,38,18,11,18,20,3
31,45,18,10,16,17,3
51,67,20,18,11,23,2
50,64,22,11,20,23,2
30,42,22,10,9,16,3
31,48,26,12,14,17,3
29,38,18,13,18,20,3
49,67,23,15,17,31,2
43,60,19,12,19,18,2
64,87,38,16,46,25,2
30,42,38,4,55,15,2
24,35,38,4,42,15,3
33,50,39,7,47,15,3
25,35,39,5,45,13,3
33,50,39,6,47,16,3
34,46,39,4,49,10,3
33,49,43,6,35,11,3
43,62,43,14,33,11,2
27,47,38,8,40,11,3
34,53,40,11,42,14,2
36,52,39,13,37,17,2
28,41,38,11,42,15,3
41,61,40,25,41,27,2
40,55,44,10,41,16,2
32,51,42,16,41,20,2
31,34,38,8,53,9,2
36,40,39,9,48,9,3
60,69,42,15,41,19,2
48,61,40,9,54,17,2
30,39,40,10,33,10,3
30,45,43,12,45,12,3
59,71,44,15,50,20,2
66,76,40,14,60,18,2
73,110,28,18,26,18,1
53,70,25,10,27,14,2
32,53,27,6,24,9,2
29,54,26,11,24,13,2
27,51,24,10,24,12,2
34,53,24,8,32,12,2
33,50,24,9,30,13,3
26,42,24,9,35,12,3
33,53,25,9,23,12,2
50,64,24,11,23,10,2
38,57,23,6,18,7,2
63,98,25,13,20,8,2
59,89,26,12,30,13,2
55,73,25,11,35,13,2
40,62,24,9,32,12,2
36,51,24,9,34,15,2
46,67,26,15,28,18,2
53,70,28,8,26,12,2
28,51,25,13,23,14,2
45,59,25,13,29,15,2
29,42,24,7,30,9,3
68,103,26,22,30,14,1
66,90,26,12,29,16,2
27,54,25,6,24,7,2
41,61,25,10,40,16,2
50,73,27,10,41,16,2
64,94,25,13,27,15,2
37,59,40,14,22,12,2
38,53,29,6,31,13,2
27,46,27,7,47,7,3
44,58,25,7,40,13,2
30,48,24,4,32,7,3
38,53,24,6,31,9,2
41,58,23,13,46,13,2
35,47,22,6,39,10,3
37,54,26,16,17,10,2
47,61,16,27,22,12,2
23,25,16,11,33,8,3
38,54,17,14,27,10,2
29,50,20,12,26,15,3
34,44,17,13,20,9,3
36,57,15,15,26,13,2
42,62,14,15,32,12,2
52,73,15,17,25,14,2
52,71,17,15,26,14,2
40,52,16,11,26,12,2
31,41,13,12,25,12,3
35,34,12,12,22,13,3
43,51,13,14,28,15,2
49,63,14,14,28,15,2
72,108,14,43,44,20,1
